Модуль,Unnamed: 1,Подмодуль,Содержание,Статус
"Главная страница ""Events""",,,"На странице есть надпись ""No events found"" если нет созданых ивентов",passed
,,,При созданом ивенте можно открыть его,passed
,,,"При созданом ивенте можно его удалить тапом по кнопке ""Delete""",passed
,,,"Появляется toast уведомлениe ""Event deleted"" после удаления ивента",failed
,,,"Появляется toast уведомление ""Event created"" после создания нового ивента",failed
,,,При большом количестве ивентов появляется возможность скролить список,passed
,,,Появляется  scrollbar в правой части экрана при большом количестве ивентов,failed
,,,"В правой части экрана в хедере есть кнопка ""Add events""",passed
,,,"Рядом с каждым созданным ивентом есть кнопка ""Delete""",passed
,,,"При нажатии на кнопку ""Add events"" открывается соответствующая страница модуля",passed
"Страница ""Add Event""",,,"Содержит в себе текстовое поле с плейсхолдером Event name, кнопки ""Back"" и ""Save"" ",passed
,,,В хедере расположено название страницы Add Event,passed
,,,"При вводе данных в текстовое поле плейсхолдер ""Event name"" перемещается в верхнюю часть поля",passed
,,,Тап по Back возвращает на главную страницу ,passed
,,,Тап по Save сохраняет ивент и возвращает на главную страницу,passed
"Страница ""Event"" (просмотр ивента)",,Чек-лист основного модуля с расчётами,"Содержит в себе кнопки Back, Добавить расходы и Добавить людей",passed
,,,"Тап по Добавить расходы открывает страницу ""Добавить расходы""",passed
,,,"Тап по Добавить людей открывает страницу ""Добавить людей""",passed
,,,В хедере указано название выбранного ивента,passed
,,,Тап по Back возвращает на главную страницу ,passed
,,,"Содержит надпись ""Нет платежей или пользователей для расчёта"" при отсутствии пользователей и платежей
",passed
,,,"Результаты вычислений рассчитываются корректно
",passed
,,,"Содержит расчётную информацию об общей сумме, средней доле, пользователях с переплатой/недоплатой/в балансе и рекомендумые транзации для пользователей при введенных данных о пользователях и платежах
",passed
,,Добавить расходы,"Содержит в себе кнопки Back, Add Payment, текстовое поле с с плейсхолдером Payment amount и дропдаун Select a user, если есть информация о пользователях",passed
,,,"При наличии информации о пользователях и отсутствием платежей есть надпись ""No payments found""",passed
,,,"При отсутствии информации о пользователях надписи ""No users Found"", ""No payments found""",passed
,,,"В хедере указано название страницы ""Добавить расходы""",failed
,,,Тап по Back возвращает на страницу ивента,passed
,,,Тап по Select a user вызывает список пользователей,passed
,,,Тап на активную кнопку Add Payment добавляет платёж с указанием пользователя и суммы,passed
,,,"При добавлении платежа появляет toast уведомление ""Payment created""",failed
,,,Неактивная кнопка Add Payment не реагирует при тапе,passed
,,,"Кнопка Add Payment активна, когда выбран пользователь и введены валидные данные",passed
,,,"Кнопка Add Payment неактивна, пока не выбран пользователь и не введены валидные данные в поле Payment Amount",failed
,,,Рядом с каждым созданным платежом есть кнопка Delete,passed
,,,При тапе кнопки Delete платёж удаляется,passed
,,,"При тапе кнопки Delete появляется toast уведомление ""Payment deleted""",failed
,,,При большом количестве платежей появляется возможность скролить список,passed
,,,Появляется  scrollbar в правой части экрана при большом количестве платежей,failed
,,Добавить людей,"Содержит в себе кнопки Back, Add User, текстовое поле с с плейсхолдером User Name",passed
,,,"В хедере указано название страницы ""Добавить людей""",failed
,,,"Кнопка Add User активна, когда в поле введены валидные данные",passed
,,,"Кнопка Add User неактивна, пока не в поле не введены валидные данные",failed
,,,Неактивная кнопка Add User не реагирует при тапе,passed
,,,Тап по активной кнопке Add User добавляет пользователя,passed
,,,Тап по Back возвращает на страницу ивента,passed
,,,"При отсутствии пользователей есть надпись ""No users found""",passed
,,,"При добавлении пользователя появляет toast уведомление ""User created""",failed
,,,Рядом с каждым созданным пользователем есть кнопка Delete,passed
,,,При тапе кнопки Delete пользователь удаляется,passed
,,,"При тапе кнопки Delete появляется toast уведомление ""User deleted""",failed
,,,При большом количестве платежей появляется возможность скролить список,passed
,,,Появляется  scrollbar в правой части экрана при большом количестве платежей,failed
